NEW saddle from start c3=-1.00,T=0.30+0.30j: c3=-0.166667-0.000000j  T=1.570796+1.762747j  I/a=-4.50000-38.18377j  R(T)=12.0000-0.0000j  a'(T)=-0.00000-2.82843j
NEW saddle from start c3=-1.00,T=1.00-0.50j: c3=-0.061078-0.074741j  T=0.958365-7.517934j  I/a=-8.28291+13.07588j  R(T)=0.4680-2.1213j  a'(T)=0.00000-2.82843j
NEW saddle from start c3=-1.00,T=1.00-1.00j: c3=-0.166667+0.000000j  T=-4.712389+1.762747j  I/a=-4.50000-38.18377j  R(T)=12.0000-0.0000j  a'(T)=-0.00000-2.82843j
NEW saddle from start c3=-1.00,T=1.50-0.50j: c3=-0.078012-0.080863j  T=3.646649-7.552073j  I/a=-4.17087+13.38024j  R(T)=0.4472+2.1354j  a'(T)=0.00000-2.82843j
NEW saddle from start c3=-1.00,T=2.00+0.80j: c3=-0.166667-0.000000j  T=7.853982+1.762747j  I/a=-4.50000-38.18377j  R(T)=12.0000+0.0000j  a'(T)=0.00000-2.82843j
NEW saddle from start c3=-0.80,T=1.00-1.00j: c3=0.011760-0.000057j  T=-6.007494-4.176755j  I/a=-18.55465-62.56924j  R(T)=7.5063-10.0702j  a'(T)=0.00000-2.82843j
NEW saddle from start c3=-0.60,T=1.50+0.50j: c3=0.006200+0.006758j  T=4.931966+3.047997j  I/a=1.28922-27.18461j  R(T)=3.8376+3.4979j  a'(T)=0.00000-2.82843j
NEW saddle from start c3=+2.00,T=1.00-1.00j: c3=-0.160805+0.117255j  T=-4.089197-8.820504j  I/a=-0.35760+11.03194j  R(T)=0.4998+2.1240j  a'(T)=-0.00000-2.82843j
NEW saddle from start c3=+3.00,T=1.00-1.00j: c3=-0.024640+0.090852j  T=2.969438-8.244251j  I/a=16.19437-75.72157j  R(T)=8.9916+11.9910j  a'(T)=0.00000-2.82843j
distinct saddles at dS data: 9
  c3=-0.166667-0.000000j T=1.570796+1.762747j Re I/a=-4.5000 Im I/a=-38.1838
  c3=-0.061078-0.074741j T=0.958365-7.517934j Re I/a=-8.2829 Im I/a=+13.0759
  c3=-0.166667+0.000000j T=-4.712389+1.762747j Re I/a=-4.5000 Im I/a=-38.1838
  c3=-0.078012-0.080863j T=3.646649-7.552073j Re I/a=-4.1709 Im I/a=+13.3802
  c3=-0.166667-0.000000j T=7.853982+1.762747j Re I/a=-4.5000 Im I/a=-38.1838
  c3=0.011760-0.000057j T=-6.007494-4.176755j Re I/a=-18.5547 Im I/a=-62.5692
  c3=0.006200+0.006758j T=4.931966+3.047997j Re I/a=+1.2892 Im I/a=-27.1846
  c3=-0.160805+0.117255j T=-4.089197-8.820504j Re I/a=-0.3576 Im I/a=+11.0319
  c3=-0.024640+0.090852j T=2.969438-8.244251j Re I/a=+16.1944 Im I/a=-75.7216
DONE
