NEW from c3=-0.30+0.10j,T=3.0+6.0j: c3=-0.166667-0.000000j  T=7.853982+1.762747j  I/a=-4.50000-38.18377j  R(T)=12.0000+0.0000j
NEW from c3=-0.10-0.10j,T=3.0-10.0j: c3=-0.073135-0.070948j  T=2.275652-14.632213j  I/a=-6.08500+41.02627j  R(T)=0.2306+0.0178j
NEW from c3=-0.10-0.10j,T=1.0+9.0j: c3=-0.074380-0.093827j  T=0.233795+9.329840j  I/a=-59.51348+66.84055j  R(T)=-8.3031-6.9127j
NEW from c3=-0.10-0.10j,T=6.0-12.0j: c3=-0.073135-0.070948j  T=2.275652-14.632213j  I/a=-6.08500+41.02627j  R(T)=0.2306+0.0178j
NEW from c3=-0.10-0.10j,T=4.0-4.0j: c3=-0.078012-0.080863j  T=3.646649-7.552073j  I/a=-4.17087+13.38024j  R(T)=0.4472+2.1354j
NEW from c3=-0.10-0.10j,T=-4.0+4.0j: c3=-0.103854-0.087970j  T=-10.389552+3.304918j  I/a=-13.96085-24.14493j  R(T)=3.8544-3.4976j
NEW from c3=0.00+0.05j,T=1.0+9.0j: c3=-0.067485+0.073246j  T=4.536903+10.252188j  I/a=4.14281-46.41961j  R(T)=2.1396+4.0683j
NEW from c3=0.00+0.05j,T=-6.0-12.0j: c3=-0.067834+0.076298j  T=-6.494782-10.376287j  I/a=-19.55917-78.70611j  R(T)=7.7691-8.3283j
NEW from c3=0.05-0.05j,T=3.0-10.0j: c3=-0.061078-0.074741j  T=0.958365-7.517934j  I/a=-8.28291+13.07588j  R(T)=0.4680-2.1213j
NEW from c3=0.05-0.05j,T=3.0+6.0j: c3=-0.041756-0.168680j  T=0.644368+8.539119j  I/a=-8.13741-27.51657j  R(T)=13.5874+3.4896j
NEW from c3=0.05-0.05j,T=-2.0+5.0j: c3=0.006200+0.006758j  T=4.931966+3.047997j  I/a=1.28922-27.18461j  R(T)=3.8376+3.4979j
NEW from c3=0.05-0.05j,T=6.0-12.0j: c3=-0.099604-0.091109j  T=11.524847-8.253794j  I/a=-45.66851-27.16847j  R(T)=21.2093+7.4734j
NEW from c3=0.05-0.05j,T=2.0-14.0j: c3=-0.071493-0.074147j  T=3.927697-16.782805j  I/a=-4.81458+42.40613j  R(T)=0.3925+2.0885j
NEW from c3=0.05-0.05j,T=-4.0+4.0j: c3=0.011760-0.000057j  T=-6.007494-4.176755j  I/a=-18.55465-62.56924j  R(T)=7.5063-10.0702j
NEW from c3=-0.05+0.15j,T=-3.0-10.0j: c3=-0.091483+0.095266j  T=-7.733206-8.265503j  I/a=-29.34799-76.64366j  R(T)=9.0220-11.9771j
NEW from c3=-0.05+0.15j,T=1.0+9.0j: c3=0.038850+0.108716j  T=-1.880350+6.600720j  I/a=4.58668-33.06718j  R(T)=8.5927-0.3276j
NEW from c3=0.02+0.02j,T=8.0+4.0j: c3=0.008517-0.001237j  T=9.342835+6.325672j  I/a=17.76428-89.35982j  R(T)=8.5355+17.1356j
NEW from c3=0.02+0.02j,T=-8.0+8.0j: c3=-0.024619+0.074912j  T=-6.323142+10.106159j  I/a=-19.84488-107.72818j  R(T)=7.9464-19.6957j
distinct saddles: 18
Re I/a range over found saddles: [-59.513, +17.764]
DONE
