# eps=1.0: cuts at extrema of a along real caps; I = corrected action from pole to the cut (per a_anom), q1=a^2, R = scalar curvature at the cut
#  c3        | peak: tau      a       a'''     R       I_peak   N_peak  | neck: tau     a       a'''     R       I_neck   N_neck
-0.60000 | 0.9521 0.5610 +2.8026 +29.763 -3.13594 0.3508 | 1.4836 0.5108 +2.2768 +11.251 -5.71493 0.6356  closed nex=3
-0.59000 | 0.9588 0.5654 +2.7377 +29.381 -3.14614 0.3559 | 1.4995 0.5134 +2.2014 +11.078 -5.73248 0.6476  closed nex=3
-0.58000 | 0.9656 0.5699 +2.6728 +28.999 -3.15645 0.3611 | 1.5159 0.5160 +2.1255 +10.907 -5.74993 0.6600  closed nex=3
-0.57000 | 0.9725 0.5746 +2.6080 +28.615 -3.16687 0.3666 | 1.5328 0.5186 +2.0490 +10.740 -5.76728 0.6728  closed nex=3
-0.56000 | 0.9796 0.5794 +2.5431 +28.231 -3.17741 0.3722 | 1.5502 0.5212 +1.9719 +10.575 -5.78456 0.6862  closed nex=3
-0.55000 | 0.9869 0.5843 +2.4782 +27.846 -3.18805 0.3780 | 1.5681 0.5238 +1.8941 +10.413 -5.80177 0.7000  closed nex=3
-0.54000 | 0.9944 0.5893 +2.4133 +27.460 -3.19882 0.3839 | 1.5866 0.5264 +1.8156 +10.254 -5.81894 0.7144  closed nex=3
-0.53000 | 1.0021 0.5944 +2.3485 +27.073 -3.20969 0.3901 | 1.6057 0.5290 +1.7363 +10.099 -5.83608 0.7293  closed nex=3
-0.52000 | 1.0099 0.5997 +2.2836 +26.686 -3.22068 0.3965 | 1.6255 0.5316 +1.6561 +9.947 -5.85322 0.7448  closed nex=3
-0.51000 | 1.0180 0.6052 +2.2188 +26.297 -3.23178 0.4031 | 1.6459 0.5341 +1.5750 +9.800 -5.87039 0.7609  closed nex=3
-0.50000 | 1.0262 0.6108 +2.1539 +25.907 -3.24300 0.4100 | 1.6670 0.5366 +1.4928 +9.657 -5.88762 0.7777  closed nex=3
-0.49000 | 1.0347 0.6165 +2.0891 +25.517 -3.25433 0.4171 | 1.6889 0.5390 +1.4096 +9.518 -5.90496 0.7951  closed nex=3
-0.48000 | 1.0434 0.6225 +2.0243 +25.125 -3.26577 0.4244 | 1.7116 0.5414 +1.3250 +9.385 -5.92243 0.8133  closed nex=3
-0.47000 | 1.0524 0.6286 +1.9594 +24.732 -3.27732 0.4320 | 1.7351 0.5438 +1.2391 +9.258 -5.94011 0.8323  closed nex=3
-0.46000 | 1.0616 0.6348 +1.8946 +24.339 -3.28899 0.4400 | 1.7594 0.5460 +1.1516 +9.136 -5.95803 0.8521  closed nex=3
-0.45000 | 1.0711 0.6413 +1.8298 +23.944 -3.30077 0.4482 | 1.7848 0.5482 +1.0624 +9.022 -5.97626 0.8728  closed nex=3
-0.44000 | 1.0809 0.6480 +1.7650 +23.547 -3.31265 0.4568 | 1.8110 0.5502 +0.9712 +8.915 -5.99487 0.8944  closed nex=3
-0.43000 | 1.0909 0.6549 +1.7003 +23.150 -3.32464 0.4657 | 1.8384 0.5521 +0.8779 +8.816 -6.01394 0.9170  closed nex=3
-0.42000 | 1.1013 0.6621 +1.6355 +22.752 -3.33674 0.4750 | 1.8668 0.5538 +0.7822 +8.727 -6.03356 0.9406  closed nex=3
-0.41000 | 1.1120 0.6694 +1.5707 +22.352 -3.34894 0.4847 | 1.8965 0.5554 +0.6836 +8.648 -6.05381 0.9653  closed nex=3
-0.40000 | 1.1231 0.6771 +1.5060 +21.950 -3.36124 0.4948 | 1.9274 0.5567 +0.5820 +8.581 -6.07481 0.9912  closed nex=3
-0.39000 | 1.1345 0.6850 +1.4412 +21.548 -3.37364 0.5053 | 1.9596 0.5578 +0.4767 +8.527 -6.09667 1.0184  closed nex=3
-0.38000 | 1.1463 0.6932 +1.3765 +21.144 -3.38614 0.5164 | 1.9933 0.5586 +0.3673 +8.489 -6.11952 1.0469  closed nex=3
-0.37000 | 1.1585 0.7017 +1.3118 +20.738 -3.39872 0.5280 | 2.0285 0.5590 +0.2530 +8.468 -6.14349 1.0767  closed nex=3
-0.36000 | 1.1712 0.7105 +1.2471 +20.331 -3.41140 0.5401 | 2.0653 0.5590 +0.1331 +8.468 -6.16874 1.1081  closed nex=3
