=== eps=1.0: K=0 cap at a=2: c3=-0.0283494 tau1=2.80050 a=2.00000 v=+2.71e-11 R=4.5000 I_inv=-4.44580  I_(a,R)=-4.44580  (P_R=-(eps/4)a^2 v = -2.71e-11)
      v        c3          R        I_inv     I_(a,R)@own R    (E_HH at R_t=12 = -I_inv+eps*12*v, for contrast)
    -1.3608  -0.015065    +7.2103   -12.5117     -2.7002          -3.8174
    -0.9598  -0.019251    +6.4732    -9.7688     -3.5559          -1.7487
    -0.7201  -0.022118    +6.0317    -8.2702     -3.9266          -0.3713
    -0.5582  -0.024082    +5.7259    -7.3182     -4.1219          +0.6196
    -0.4412  -0.025427    +5.4970    -6.6616     -4.2362          +1.3669
    -0.3531  -0.026348    +5.3181    -6.1852     -4.3072          +1.9476
    -0.2850  -0.026978    +5.1745    -5.8279     -4.3530          +2.4076
    -0.2314  -0.027410    +5.0577    -5.5536     -4.3832          +2.7765
    -0.1887  -0.027706    +4.9617    -5.3397     -4.4033          +3.0751
    -0.1544  -0.027909    +4.8826    -5.1707     -4.4169          +3.3181
    -0.1266  -0.028048    +4.8171    -5.0359     -4.4261          +3.5167
    -0.1040  -0.028143    +4.7629    -4.9277     -4.4323          +3.6796
    -0.0856  -0.028208    +4.7179    -4.8403     -4.4366          +3.8135
    -0.0705  -0.028252    +4.6806    -4.7694     -4.4395          +3.9236
    -0.0581  -0.028283    +4.6496    -4.7116     -4.4415          +4.0144
    -0.0479  -0.028304    +4.6240    -4.6645     -4.4428          +4.0893
    -0.0396  -0.028318    +4.6027    -4.6259     -4.4438          +4.1511
    -0.0327  -0.028328    +4.5851    -4.5942     -4.4444          +4.2021
    -0.0270  -0.028335    +4.5704    -4.5682     -4.4448          +4.2443
    -0.0223  -0.028339    +4.5583    -4.5468     -4.4451          +4.2791
    +0.0220  -0.028339    +4.4413    -4.3473     -4.4451          +4.6116
    +0.0266  -0.028335    +4.4290    -4.3271     -4.4448          +4.6461
    +0.0321  -0.028328    +4.4141    -4.3029     -4.4444          +4.6876
    +0.0387  -0.028318    +4.3961    -4.2738     -4.4438          +4.7378
    +0.0466  -0.028304    +4.3743    -4.2389     -4.4428          +4.7984
    +0.0562  -0.028283    +4.3479    -4.1972     -4.4415          +4.8714
    +0.0677  -0.028252    +4.3158    -4.1474     -4.4395          +4.9596
    +0.0815  -0.028208    +4.2768    -4.0881     -4.4366          +5.0658
    +0.0980  -0.028143    +4.2294    -4.0178     -4.4323          +5.1939
    +0.1178  -0.028048    +4.1716    -3.9346     -4.4261          +5.3484
    +0.1415  -0.027909    +4.1010    -3.8367     -4.4169          +5.5346
    +0.1698  -0.027706    +4.0146    -3.7219     -4.4035          +5.7592
    +0.2035  -0.027410    +3.9083    -3.5883     -4.3836          +6.0302
    +0.2436  -0.026978    +3.7769    -3.4341     -4.3542          +6.3576
    +0.2913  -0.026348    +3.6135    -3.2578     -4.3105          +6.7538
    +0.3480  -0.025427    +3.4087    -3.0588     -4.2450          +7.2347
    +0.4152  -0.024082    +3.1494    -2.8382     -4.1459          +7.8211
    +0.4951  -0.022118    +2.8173    -2.5999     -3.9946          +8.5406
    +0.5899  -0.019251    +2.3858    -2.3528     -3.7602          +9.4316
    +0.7028  -0.015065    +1.8162    -2.1150     -3.3914         +10.5487
    +0.8377  -0.008953    +1.0509    -1.9206     -2.8009         +11.9728
    +0.9995  -0.000028    +0.0032    -1.8333     -1.8366         +13.8277
    +1.0000  +0.000000    +0.0000    -1.8333     -1.8333         +13.8333
    +1.0017  +0.000100    -0.0115    -1.8333     -1.8219         +13.8532
    +1.0040  +0.000243    -0.0278    -1.8334     -1.8055         +13.8815
    +1.0097  +0.000590    -0.0675    -1.8337     -1.7655         +13.9502
    +1.0234  +0.001435    -0.1638    -1.8352     -1.6676         +14.1163
    +1.0560  +0.003486    -0.3965    -1.8443     -1.4257         +14.5158
    +1.1309  +0.008469    -0.9555    -1.8948     -0.8142         +15.4654
    +1.2944  +0.020578    -2.2900    -2.1580     +0.8062         +17.6910
   minimum of I_(a,R) on the scanned family: -4.44515 at v=+0.0220 (R=4.4413); K=0 cap value +5.47703
   ends: v=-22.678 -> I_(a,R)=+1909.08;  v=+1.625 -> I_(a,R)=+5.48
   fit near v=0: dR/dv=-2.6765  ->  -eps dR/dv=+2.6765;  fitted d^2 I_(a,R)/dv^2 = +2.7383; fitted dI/dv at 0 = +3.86e-02
=== eps=0.3: K=0 cap at a=2: c3=-0.0137044 tau1=2.55233 a=2.00000 v=-1.23e-11 R=6.4749 I_inv=-2.90054  I_(a,R)=-2.90054  (P_R=-(eps/4)a^2 v = +3.70e-12)
      v        c3          R        I_inv     I_(a,R)@own R    (E_HH at R_t=12 = -I_inv+eps*12*v, for contrast)
    -1.5727  -0.006822   +13.2096    -7.5682     -1.3356          +1.9064
    -1.1344  -0.008825   +11.3492    -5.9545     -2.0921          +1.8706
    -0.8647  -0.010245   +10.2352    -5.0814     -2.4262          +1.9684
    -0.6794  -0.011252    +9.4699    -4.5335     -2.6034          +2.0878
    -0.5438  -0.011965    +8.9042    -4.1598     -2.7072          +2.2021
    -0.4407  -0.012471    +8.4677    -3.8913     -2.7716          +2.3046
    -0.3604  -0.012830    +8.1216    -3.6912     -2.8132          +2.3939
    -0.2965  -0.013085    +7.8425    -3.5383     -2.8407          +2.4709
    -0.2451  -0.013265    +7.6146    -3.4192     -2.8592          +2.5367
    -0.2034  -0.013393    +7.4270    -3.3250     -2.8718          +2.5928
    -0.1692  -0.013484    +7.2717    -3.2497     -2.8805          +2.6405
    -0.1411  -0.013548    +7.1427    -3.1889     -2.8865          +2.6809
    -0.1179  -0.013593    +7.0351    -3.1395     -2.8907          +2.7151
    -0.0986  -0.013626    +6.9452    -3.0991     -2.8936          +2.7441
    -0.0826  -0.013649    +6.8700    -3.0659     -2.8957          +2.7686
    -0.0692  -0.013665    +6.8069    -3.0385     -2.8971          +2.7893
    -0.0581  -0.013676    +6.7540    -3.0158     -2.8981          +2.8067
    -0.0487  -0.013685    +6.7096    -2.9969     -2.8988          +2.8215
    -0.0409  -0.013690    +6.6724    -2.9813     -2.8993          +2.8339
    -0.0344  -0.013694    +6.6410    -2.9682     -2.8997          +2.8444
    +0.0336  -0.013694    +6.3102    -2.8360     -2.8997          +2.9571
    +0.0399  -0.013690    +6.2794    -2.8243     -2.8994          +2.9678
    +0.0472  -0.013685    +6.2429    -2.8104     -2.8989          +2.9805
