=== constant-lapse test, census saddles at (3,-i sqrt8), eps=1; straight path N_E = int a dtau ===
sphere  c3=-0.166667+0.000000j T=1.570796+1.762747j N_E=1.0000+2.8284j | straight-path end a=3.0000-0.0000j v=-0.0000-2.8284j | lapse-path end tau(1)=1.5708+1.7627j a(1)=3.0000-0.0000j v(1)=-0.0000-2.8284j R(1)=12.000-0.000j | constant-lapse: YES | min|a| on t-path=0.0077 at t=0.000 status=0
A       c3=-0.061078-0.074741j T=0.958365-7.517934j N_E=-8.6160-25.1504j | straight-path end a=3.0000-0.0001j v=0.0001-2.8284j | lapse-path end tau(1)=0.9584-7.5179j a(1)=3.0000-0.0001j v(1)=0.0001-2.8284j R(1)=0.468-2.121j | constant-lapse: YES | min|a| on t-path=0.0231 at t=0.000 status=0
B       c3=-0.078012-0.080863j T=3.646649-7.552073j N_E=11.5478-24.9783j | straight-path end a=3.0001+0.0002j v=-0.0001-2.8284j | lapse-path end tau(1)=3.6466-7.5521j a(1)=3.0001+0.0002j v(1)=-0.0001-2.8284j R(1)=0.447+2.135j | constant-lapse: YES | min|a| on t-path=0.0235 at t=0.000 status=0
C       c3=0.011760-0.000057j T=-6.007494-4.176755j N_E=-3.2328+12.4265j | straight-path end a=3.0000+0.0001j v=0.0001-2.8285j | lapse-path end tau(1)=3.3988+4.2210j a(1)=2.8994+2.8967j v(1)=0.6517-1.0395j R(1)=1.682+0.281j | constant-lapse: NO | min|a| on t-path=0.0160 at t=0.000 status=0
D       c3=0.006200+0.006758j T=4.931966+3.047997j N_E=5.5540+11.5409j | straight-path end a=3.0000+0.0000j v=-0.0000-2.8284j | lapse-path end tau(1)=4.9320+3.0480j a(1)=3.0000+0.0000j v(1)=-0.0000-2.8284j R(1)=3.838+3.498j | constant-lapse: YES | min|a| on t-path=0.0160 at t=0.000 status=0
E       c3=-0.160805+0.117255j T=-4.089197-8.820504j N_E=10.6431-23.7737j | straight-path end a=2.9999-0.0000j v=0.0000-2.8285j | lapse-path end tau(1)=2.1950-2.9540j a(1)=37.3835+0.6173j v(1)=23.5590+54.0336j R(1)=20.146-24.249j | constant-lapse: NO | min|a| on t-path=0.0228 at t=0.000 status=0
F       c3=-0.024640+0.090852j T=2.969438-8.244251j N_E=-4.1214+14.3725j | straight-path end a=3.0000+0.0000j v=0.0000-2.8284j | lapse-path end tau(1)=2.4690+5.5881j a(1)=3.4829+3.6889j v(1)=1.4899+0.6600j R(1)=-1.185+0.631j | constant-lapse: NO | min|a| on t-path=0.0173 at t=0.000 status=0
G       c3=-0.073135-0.070948j T=2.275652-14.632213j N_E=1.5562-66.5814j | straight-path end a=3.0002+0.0001j v=-0.0001-2.8283j | lapse-path end tau(1)=2.2757-14.6322j a(1)=3.0002+0.0001j v(1)=-0.0001-2.8283j R(1)=0.231+0.018j | constant-lapse: YES | min|a| on t-path=0.0365 at t=0.000 status=0
H       c3=-0.074380-0.093827j T=0.233795+9.329840j N_E=8.5769-28.7222j | straight-path end a=3.0000-0.0000j v=0.0001-2.8285j | lapse-path end tau(1)=0.1965-8.8406j a(1)=1.1991+2.7981j v(1)=2.0447+2.3507j R(1)=6.119-3.379j | constant-lapse: NO | min|a| on t-path=0.0245 at t=0.000 status=0
K       c3=-0.067834+0.076298j T=-6.494782-10.376287j N_E=-3.1853+39.0207j | straight-path end a=3.0000-0.0000j v=-0.0001-2.8284j | lapse-path end tau(1)=-1.2726+9.2678j a(1)=-1.8874-3.3713j v(1)=3.9934+0.1744j R(1)=2.615+8.449j | constant-lapse: NO | min|a| on t-path=0.0280 at t=0.000 status=0
L       c3=-0.041756-0.168680j T=0.644368+8.539119j N_E=4.1573-2.9311j | straight-path end a=3.0000-0.0000j v=-0.0000-2.8284j | lapse-path end tau(1)=2.9218+0.5949j a(1)=-0.2971-5.8366j v(1)=-8.1133-3.8889j R(1)=15.269+25.592j | constant-lapse: NO | min|a| on t-path=0.0101 at t=0.000 status=0
S       c3=-0.024619+0.074912j T=-6.323142+10.106159j N_E=-11.9995+12.8430j | straight-path end a=3.0000-0.0000j v=-0.0000-2.8282j | lapse-path end tau(1)=1.1416+6.3559j a(1)=2.1873+4.0646j v(1)=1.0420+0.6967j R(1)=-0.083+0.185j | constant-lapse: NO | min|a| on t-path=0.0187 at t=0.000 status=0
